"sample_index","converged","steps_to_converge","dt_initial","dt_mean","eig0_oscillation_count","neg_vib_oscillation_count","neg_vib_initial","neg_vib_max","mode_overlap_mean","low_overlap_count"
"0","true","1404","0.001","0.003307628963358918","2","133","12","14","0.9949358251595413","15"
"1","true","841","0.001","0.0016641787510394384","0","58","9","9","0.9986746625492522","1"
"2","false","15000","0.001","0.002105661897761429","0","1076","10","10","0.9999984028458595","0"
"3","true","426","0.001","0.0023010722840120035","0","42","10","10","0.9994219516423603","1"
"4","true","483","0.001","0.003751999636809196","0","31","5","6","0.9908578563327631","15"
"5","true","906","0.001","0.004059369001658975","0","64","9","10","0.9992332848850658","1"
"6","true","523","0.001","0.0025450322570800786","0","30","10","12","0.9961419839212913","4"
"7","true","88","0.001","0.004227272727272727","0","8","9","9","0.9994247743252958","0"
"8","true","351","0.001","0.003831716952817051","0","27","11","12","0.9985010224309835","2"
"9","true","0","0.001","0.001309061006537421","0","0","1","1","1","0"
"10","true","1147","0.001","0.001308398330479452","0","91","5","5","0.9970451139614557","12"
"11","true","224","0.001","0.003059685568432671","0","18","5","6","0.9999403738975525","0"
"12","true","462","0.001","0.0036757053202479345","0","35","4","5","0.9929609216315185","7"
"13","true","492","0.001","0.000511614829927718","0","42","6","6","0.9959775378689563","6"
"14","false","15000","0.001","0.003338767600924125","0","5044","11","13","0.9978667616566023","7"
"15","true","523","0.001","0.0031837401335995095","0","44","11","12","0.9980295863542848","2"
"16","true","412","0.001","0.0031967201246412384","0","29","12","12","0.9973105247026495","2"
"17","false","15000","0.001","0.0019704402593085112","0","515","15","17","0.999373363139232","24"
"18","true","479","0.001","0.001264450058555227","0","36","10","11","0.997317045306166","4"
"19","true","1043","0.001","0.001604515847073444","0","81","11","12","0.9990530763092625","0"
"20","false","15000","0.001","0.002169113501320423","0","1140","10","13","0.9999699478785197","0"
"21","true","289","0.001","0.005692592574977513","0","22","11","11","0.9985919804408633","1"
"22","true","1729","0.001","0.007764854615198169","0","165","9","10","0.999505361587326","1"
"23","true","448","0.001","0.002459118566176471","0","38","8","8","0.9957126382995555","7"
"24","true","572","0.001","0.0003225303564659076","0","41","11","12","0.9951164314676122","9"
