rank,tag,max_atom_disp,tr_threshold,project_gradient_and_v,purify_hessian,n_samples,n_converged,n_errors,convergence_rate,mean_steps_when_converged,mean_wall_time,total_wall_time,path
1,mad1.0_tr1e-4_pgtrue_phfalse,1.0,0.0001,True,False,20,12,0,0.6,142.58333333333334,22.9085799574852,458.171599149704,cheese/min_nr_grid_1002104/mad1.0_tr1e-4_pgtrue_phfalse/minimization_newton_raphson_1002104_results.json
2,mad1.0_tr1e-4_pgtrue_phtrue,1.0,0.0001,True,True,20,12,0,0.6,142.58333333333334,23.11651086807251,462.3302173614502,cheese/min_nr_grid_1002104/mad1.0_tr1e-4_pgtrue_phtrue/minimization_newton_raphson_1002104_results.json
3,mad1.0_tr1e-4_pgfalse_phfalse,1.0,0.0001,False,False,20,12,0,0.6,780.6666666666666,23.874612593650816,477.49225187301636,cheese/min_nr_grid_1002104/mad1.0_tr1e-4_pgfalse_phfalse/minimization_newton_raphson_1002104_results.json
4,mad1.0_tr1e-4_pgfalse_phtrue,1.0,0.0001,False,True,20,12,0,0.6,780.6666666666666,23.894037675857543,477.8807535171509,cheese/min_nr_grid_1002104/mad1.0_tr1e-4_pgfalse_phtrue/minimization_newton_raphson_1002104_results.json
5,mad0.3_tr1e-4_pgtrue_phfalse,0.3,0.0001,True,False,20,11,0,0.55,991.8181818181819,28.605318593978883,572.1063718795776,cheese/min_nr_grid_1002104/mad0.3_tr1e-4_pgtrue_phfalse/minimization_newton_raphson_1002104_results.json
6,mad0.3_tr1e-4_pgtrue_phtrue,0.3,0.0001,True,True,20,11,0,0.55,991.8181818181819,28.68684083223343,573.7368166446686,cheese/min_nr_grid_1002104/mad0.3_tr1e-4_pgtrue_phtrue/minimization_newton_raphson_1002104_results.json
7,mad1.0_tr1e-5_pgfalse_phtrue,1.0,1e-05,False,True,20,10,0,0.5,734.2,28.377604806423186,567.5520961284637,cheese/min_nr_grid_1002104/mad1.0_tr1e-5_pgfalse_phtrue/minimization_newton_raphson_1002104_results.json
8,mad1.0_tr1e-5_pgfalse_phfalse,1.0,1e-05,False,False,20,10,0,0.5,734.2,28.718503510951997,574.3700702190399,cheese/min_nr_grid_1002104/mad1.0_tr1e-5_pgfalse_phfalse/minimization_newton_raphson_1002104_results.json
9,mad0.3_tr1e-5_pgfalse_phtrue,0.3,1e-05,False,True,20,10,0,0.5,1379.0,29.532197308540344,590.6439461708069,cheese/min_nr_grid_1002104/mad0.3_tr1e-5_pgfalse_phtrue/minimization_newton_raphson_1002104_results.json
10,mad0.3_tr1e-5_pgfalse_phfalse,0.3,1e-05,False,False,20,10,0,0.5,1379.0,29.678441512584687,593.5688302516937,cheese/min_nr_grid_1002104/mad0.3_tr1e-5_pgfalse_phfalse/minimization_newton_raphson_1002104_results.json
