sample_idx,n_converged,n_total,convergence_rate,best_converged_step,best_combo_tag
17,2,80,0.025,1537,mad0.5_tr1e-4_pgfalse_phfalse
5,4,80,0.05,712,mad0.5_tr1e-5_pgtrue_phfalse
9,6,80,0.075,178,mad1.0_tr1e-4_pgtrue_phfalse
16,6,80,0.075,139,mad1.0_tr1e-4_pgtrue_phfalse
0,8,80,0.1,33,mad1.0_tr1e-4_pgtrue_phfalse
4,8,80,0.1,159,mad1.0_tr1e-4_pgfalse_phfalse
7,8,80,0.1,244,mad1.0_tr1e-5_pgfalse_phfalse
8,8,80,0.1,196,mad1.0_tr1e-4_pgfalse_phfalse
18,8,80,0.1,331,mad1.0_tr1e-5_pgtrue_phfalse
1,10,80,0.125,215,mad1.0_tr1e-7_pgtrue_phfalse
10,10,80,0.125,245,mad1.0_tr1e-4_pgtrue_phfalse
19,12,80,0.15,200,mad1.0_tr1e-4_pgfalse_phfalse
6,14,80,0.175,140,mad1.0_tr1e-4_pgfalse_phfalse
2,16,80,0.2,96,mad1.0_tr1e-4_pgtrue_phfalse
3,20,80,0.25,164,mad1.0_tr1e-5_pgfalse_phfalse
15,26,80,0.325,31,mad1.0_tr1e-4_pgtrue_phfalse
12,44,80,0.55,4,mad1.0_tr1e-4_pgfalse_phfalse
13,46,80,0.575,24,mad1.0_tr1e-5_pgfalse_phfalse
14,48,80,0.6,8,mad1.0_tr1e-4_pgfalse_phfalse
11,56,80,0.7,2,mad1.0_tr1e-4_pgfalse_phfalse
