"sample_index","converged","steps_to_converge","dt_initial","dt_mean","eig0_oscillation_count","neg_vib_oscillation_count","neg_vib_initial","neg_vib_max","mode_overlap_mean","low_overlap_count"
"0","true","7828","0.001","0.0007782686461103724","0","749","7","12","0.9948251954390491","98"
"1","true","228","0.001","0.004965181623340708","0","30","11","11","0.9949453803649636","3"
"2","true","71","0.00004587778291917835","0.001315041780827417","0","12","11","11","0.9200121083607277","14"
"3","true","1230","0.001","0.0020423413906852563","0","118","11","11","0.9875038065422139","32"
"4","true","255","0.0004894767214905435","0.001165452838659145","0","25","9","9","0.9927180774975568","5"
"5","true","106","0.00039717998032236105","0.0028999733960407776","0","11","12","12","0.9495646082317439","12"
"6","false","15000","0.0005712762187960089","0.0009636695010073887","4","688","11","11","0.9970403932606491","135"
"7","false","15000","0.001","0.0010935167982435606","0","1475","9","10","0.9992301920041442","24"
"8","true","1102","0.001","0.001336570685918463","0","127","11","11","0.9972005897182178","10"
"9","true","315","0.001","0.0032613684979838718","0","18","8","9","0.9998807541177243","0"
"10","true","656","0.001","0.0027436448486328124","0","56","10","10","0.9966367413282757","9"
"11","true","19","0.000631769813864339","0.0027700931480981227","0","3","4","4","0.9792257338762284","1"
"12","true","227","0.001","0.010334885666463334","0","46","4","5","0.9979162731191569","0"
"13","true","267","0.001","0.00492997802921456","0","27","4","5","0.9965847058972316","4"
"14","true","293","0.001","0.0034177542830057003","0","24","5","5","0.9968568907708538","4"
"15","true","271","0.001","0.000911545931686148","0","27","3","6","0.9977203548392829","2"
"16","false","15000","0.0006370073214082583","0.002940156458524046","0","864","13","14","0.9990983712747693","23"
"17","true","9219","0.001","0.0029522304425633455","0","394","8","10","0.9991210693408636","26"
"18","true","299","0.001","0.001978454668961471","0","29","10","10","0.9922368204593659","8"
"19","true","3828","0.001","0.0032687432421031324","0","315","9","10","0.9889311135753106","119"
"20","true","1795","0.001","0.003438797863355377","0","155","12","12","0.9981737412296584","11"
"21","true","961","0.001","0.0030107781244890774","0","71","10","10","0.9999907300526784","0"
"22","true","925","0.001","0.0031577473066709844","0","58","12","12","0.9997374218431971","1"
"23","true","139","0.001","0.0030507394701086957","0","13","13","13","0.9893691199166434","4"
"24","true","1668","0.001","0.00368581075406039","0","141","10","12","0.9952071468725827","20"
"25","true","662","0.00012422409990850615","0.0026761547461212113","0","51","13","13","0.9957817480934511","9"
"26","true","2524","0.001","0.0029429043188911124","0","199","10","10","0.9985085748209812","8"
"27","true","338","0.001","0.004065622615952089","0","31","9","9","0.9945221877379403","5"
"28","false","15000","0.001","0.0010426880312334455","2","348","11","11","0.9930960102162945","184"
"29","true","3024","0.0001441424499814869","0.002485807206785648","0","267","13","13","0.9938464672604869","51"
"30","true","4254","0.001","0.0017267636746247739","0","612","10","10","0.9949060982127141","55"
"31","true","1130","0.001","0.002486318213954187","0","97","8","8","0.9968429241003345","10"
"32","true","1283","0.001","0.0026637212687276295","0","115","12","12","0.9982039831416257","5"
"33","true","9317","0.001","0.002184945242524383","0","1236","9","12","0.9976182628233473","63"
"34","true","618","0.001","0.004476316425619835","0","41","14","14","0.9917971700766938","18"
"35","false","15000","0.00007261191794790118","0.0007360986542596037","4","368","12","12","0.9973213317880322","98"
"36","true","731","0.001","0.002109339050550104","0","53","12","12","0.996241840345612","10"
"37","false","15000","0.001","0.0003817207656741038","2","201","11","12","0.9993943052858114","22"
"38","false","15000","0.001","0.0019435858696014515","0","1458","9","9","0.9988530052006245","51"
"39","true","1027","0.001","0.004086629972959745","0","88","13","13","0.9922711935604592","28"
"40","true","10013","0.001","0.0010038709174430642","0","1288","13","13","0.9991173507784857","19"
"41","true","2900","0.0008818180365602087","0.002164755455133444","0","201","14","14","0.9990019173262161","8"
"42","true","14054","0.001","0.0011968037438655538","0","1398","11","12","0.9976144880791897","67"
"43","true","948","0.0002877364684136415","0.0015387629315586967","0","97","13","13","0.9968511459071216","7"
"44","true","421","0.00032231120187698473","0.0038707484155466924","0","25","12","12","0.9926896432847209","11"
"45","true","1252","0.001","0.0018606538204256316","0","105","15","15","0.9961173274009493","14"
"46","true","3260","0.0009199245514760714","0.002074645545197044","0","419","13","13","0.9941444452152305","43"
"47","true","891","0.001","0.003935782170556057","0","69","12","14","0.9925926242675215","24"
"48","true","1657","0.001","0.0028286673002560618","0","142","10","10","0.9946512067095075","26"
"49","true","1654","0.001","0.0032922382252909836","0","150","10","10","0.993090944996053","39"
"50","true","735","0.001","0.0023399676836699163","0","56","11","11","0.994368554133436","16"
"51","true","1865","0.001","0.001912145536947514","0","163","13","13","0.9958357688115405","22"
"52","true","9087","0.001","0.003876049484717778","0","406","11","11","0.9998379114320056","3"
"53","true","3945","0.001","0.0024851104159147905","0","233","11","11","0.9989443263364696","14"
"54","true","3443","0.001","0.0022508589591271715","2","276","12","14","0.9962603890741926","34"
"55","false","15000","0.001","0.002484712063275546","0","1437","14","14","0.9988252656916777","41"
"56","false","15000","0.00037710486630515534","0.0020834105632799387","2","1033","13","13","0.9930819926262523","338"
"57","false","15000","0.001","0.0014289271364492785","0","1520","16","16","0.9974946567002606","91"
"58","true","497","0.001","0.0015785113783713693","0","43","13","13","0.9996813931857725","0"
"59","true","459","0.001","0.0015012764261744971","0","39","13","13","0.9980144109414971","4"
"60","true","868","0.001","0.00446617761749705","0","70","12","12","0.9972404868473803","8"
"61","true","2259","0.001","0.0033793062684743065","0","182","10","12","0.9961512623602047","19"
"62","true","878","0.001","0.0033460103252923976","0","67","14","14","0.9991818519311282","1"
"63","true","682","0.001","0.0029446746351047904","0","53","13","13","0.9989996062016243","2"
"64","true","232","0.00026162895070691464","0.0019008750370854764","0","19","14","14","0.9964297628709686","2"
"65","true","870","0.001","0.00480885089390387","0","82","14","14","0.9986342771318832","2"
"66","true","1375","0.001","0.0018311070361788188","0","121","7","8","0.999623070839186","2"
"67","true","2019","0.001","0.0038755045735705427","0","163","16","16","0.9935263168988842","35"
"68","true","358","0.001","0.0042045976562500005","0","35","14","14","0.9932806627165972","5"
"69","true","7532","0.0006625177276593976","0.003595592037994303","0","459","10","12","0.9994749898029389","13"
"70","true","2793","0.001","0.002367854417179344","0","279","15","15","0.999374095870498","6"
"71","true","930","0.001","0.003480274759615385","0","62","11","11","0.9995501958209897","1"
