rank,tag,max_atom_disp,nr_threshold,lm_mu,shift_epsilon,anneal_force_threshold,stagnation_window,escape_alpha,lm_mu_anneal_factor,neg_mode_line_search,neg_trust_floor,blind_mode_threshold,blind_correction_alpha,aggressive_trust_recovery,escape_bidirectional,mode_follow_eval_threshold,project_gradient_and_v,purify_hessian,n_samples,n_converged,n_errors,convergence_rate,mean_steps_when_converged,mean_wall_time,total_wall_time,total_escapes,total_line_searches,total_mode_follows,step_control,max_nr_weight,polynomial_linesearch,noise_level,crossover_mu_max,crossover_n_neg_ref,crossover_force_ref,path
1,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,216,7,0.7526132404181185,1203.662037037037,57.00903265069171,16361.59237074852,0,0,0,trust_region,0.0,False,0.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
2,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,211,7,0.735191637630662,1269.5260663507108,60.175937254669776,17270.493992090225,0,0,0,trust_region,0.0,False,0.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
3,n0.5_rfo_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,191,6,0.6655052264808362,1456.958115183246,88.82802842967601,25493.644159317017,0,0,0,trust_region,0.0,False,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n0.5_rfo_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
4,n0.5_rfo_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,187,6,0.6515679442508711,1416.4973262032086,90.20054196896038,25887.55554509163,0,0,0,trust_region,0.0,False,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n0.5_rfo_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
5,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,187,6,0.6515679442508711,1416.4973262032086,90.46288078088794,25962.846784114838,0,0,0,trust_region,0.0,False,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
6,n1.0_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,158,2,0.5505226480836237,2470.96835443038,117.3051121334581,33666.567182302475,0,0,0,trust_region,0.0,False,1.0,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n1.0_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
7,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,151,2,0.5261324041811847,2208.1258278145697,118.16762396599773,33914.10807824135,0,0,0,trust_region,0.0,False,1.0,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
8,n1.0_rfo_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,139,3,0.4843205574912892,2269.028776978417,134.1766493727521,38508.69836997986,0,0,0,trust_region,0.0,False,1.0,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n1.0_rfo_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
9,n1.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,136,0,0.4738675958188153,2759.4338235294117,135.31920107981054,38836.610709905624,0,0,0,trust_region,0.0,False,1.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n1.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
10,n1.0_rfo_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,131,3,0.4564459930313589,2796.5419847328244,145.1000444008498,41643.7127430439,0,0,0,trust_region,0.0,False,1.0,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10_1103111/n1.0_rfo_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1103111_results.json
