sample_idx,n_converged,n_total,convergence_rate,best_converged_step,best_combo_tag
74,1,48,0.020833333333333332,2794,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
178,1,48,0.020833333333333332,7610,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
179,1,48,0.020833333333333332,7187,n1.0_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
185,1,48,0.020833333333333332,69,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
191,1,48,0.020833333333333332,8147,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
42,2,48,0.041666666666666664,523,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
96,2,48,0.041666666666666664,3916,n1.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
182,2,48,0.041666666666666664,1155,n0.5_rfo_re0.01_ar1_pgtrue_phfalse
240,2,48,0.041666666666666664,598,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
78,3,48,0.0625,409,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
82,3,48,0.0625,1429,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
122,3,48,0.0625,17,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
171,3,48,0.0625,25,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
180,3,48,0.0625,1332,n1.0_rfo_re0.01_ar1_pgtrue_phfalse
215,3,48,0.0625,21,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
224,3,48,0.0625,3656,n1.0_rfo_re0.01_ar1_pgtrue_phfalse
21,4,48,0.08333333333333333,856,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
26,4,48,0.08333333333333333,50,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
45,4,48,0.08333333333333333,19,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
47,4,48,0.08333333333333333,6588,n1.0_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
72,4,48,0.08333333333333333,779,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
90,4,48,0.08333333333333333,40,n1.0_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
143,4,48,0.08333333333333333,491,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
146,4,48,0.08333333333333333,3974,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
149,4,48,0.08333333333333333,442,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
208,4,48,0.08333333333333333,1260,n1.0_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
1,5,48,0.10416666666666667,24,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
25,5,48,0.10416666666666667,176,n0.5_arc_si10.0_g12.0_re0.01_ar1_pgtrue_phfalse
28,5,48,0.10416666666666667,400,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
33,5,48,0.10416666666666667,15,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
34,5,48,0.10416666666666667,12,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
35,5,48,0.10416666666666667,98,n1.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
41,5,48,0.10416666666666667,22,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
43,5,48,0.10416666666666667,1062,n0.5_rfo_re0.01_ar1_pgtrue_phfalse
62,5,48,0.10416666666666667,2686,n1.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
70,5,48,0.10416666666666667,390,n1.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
98,5,48,0.10416666666666667,29,n1.0_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
103,5,48,0.10416666666666667,1606,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
109,5,48,0.10416666666666667,32,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
113,5,48,0.10416666666666667,243,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
121,5,48,0.10416666666666667,32,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
129,5,48,0.10416666666666667,26,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
155,5,48,0.10416666666666667,669,n1.0_rfo_re0.01_ar1_pgtrue_phfalse
175,5,48,0.10416666666666667,16,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
183,5,48,0.10416666666666667,1151,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
184,5,48,0.10416666666666667,171,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
233,5,48,0.10416666666666667,115,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
242,5,48,0.10416666666666667,108,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
19,6,48,0.125,23,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
27,6,48,0.125,976,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
36,6,48,0.125,16,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
38,6,48,0.125,728,n1.0_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
53,6,48,0.125,4022,n1.0_rfo_re0.01_ar1_pgtrue_phfalse
58,6,48,0.125,356,n1.0_rfo_re0.01_ar1_pgtrue_phfalse
61,6,48,0.125,81,n1.0_rfo_re0.01_ar1_pgtrue_phfalse
73,6,48,0.125,15,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
75,6,48,0.125,10,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
94,6,48,0.125,21,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
100,6,48,0.125,1951,n1.0_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
105,6,48,0.125,1252,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
110,6,48,0.125,47,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
112,6,48,0.125,44,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
127,6,48,0.125,21,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
132,6,48,0.125,29,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
137,6,48,0.125,677,n0.5_rfo_re0.01_ar1_pgtrue_phfalse
141,6,48,0.125,20,n0.5_rfo_re0.01_ar1_pgtrue_phfalse
147,6,48,0.125,306,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
173,6,48,0.125,24,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
174,6,48,0.125,28,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
