sample_id,combo_tag,classification,n_steps,final_n_neg,final_min_eval,final_force_norm,final_energy,stagnation_count,stagnation_frac,eval_improving,eval_oscillating,energy_plateau,energy_range_last100,energy_decreasing,min_grad_overlap,step_along_neg_frac,total_escapes,total_line_searches,final_trust_radius,min_trust_radius,total_mode_follows,n_blind_corrections,final_neg_trust_radius,escape_accepted_count,escape_rejected_count,n_mode_follow_events,has_ghost_modes,n_eval_below_neg1e-1,n_eval_neg1e-1_to_neg1e-2,n_eval_neg1e-2_to_neg1e-3,n_eval_neg1e-3_to_neg1e-4,n_eval_neg1e-4_to_0,n_eval_0_to_pos1e-4,n_eval_pos1e-4_to_pos1e-3,n_eval_above_pos1e-3,final_dist_reactant_rmsd,final_dist_product_rmsd,avg_continuity_min,total_rotation_events
sample_000,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,3,-0.01211860291808062,0.2637617290019989,-501.3220520019531,9771,0.9771,False,False,True,0.0,False,0.012258291435781356,0.002226013120176264,0,0,1.3,1.3,0,0,nan,0,0,0,False,0,1,2,0,0,0,0,21,1.092050552368164,1.2701252698898315,1.0000000000000002,0
sample_001,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,2,-0.008756364404266153,0.25509050488471985,-501.3827209472656,9900,0.99,False,False,True,0.0,False,0.018764983832801473,0.0017308755723022258,0,0,1.3,1.3,0,0,nan,0,0,0,False,0,0,2,0,0,0,0,22,1.241943120956421,1.3487703800201416,0.9999999999999999,0
sample_002,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,6,-0.11044651461164452,0.5036850571632385,-499.49114990234375,9846,0.9846,False,False,True,0.0,False,0.007399977000023497,0.0019351674581951084,0,0,1.3,1.3,0,0,nan,0,0,0,False,1,4,1,0,0,0,0,18,1.4076470136642456,1.2679294347763062,0.9999999999999999,0
sample_003,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,4,-1.4757808667604155,4.007197856903076,-495.7867736816406,9947,0.9947,False,False,True,0.0,False,0.002063817130880624,0.0022711063831137098,0,0,1.3,1.3,0,0,nan,0,0,0,False,2,2,0,0,0,0,0,20,1.1573961973190308,1.833810567855835,0.9999999999999999,0
sample_004,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,2,-0.03651617852576226,0.2893333435058594,-496.28582763671875,9940,0.994,False,False,True,0.0,False,0.009948920926699646,0.005024867896282477,0,0,1.3,1.3,0,0,nan,0,0,0,False,0,2,0,0,0,0,0,22,0.8134065866470337,1.1565821170806885,1.0000000000000002,0
sample_005,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,5,-0.40937168551015646,0.3143961429595947,-387.95751953125,9876,0.9876,False,False,True,0.0,False,0.0002601698657053721,0.006792187569294788,0,0,1.3,1.3,0,0,nan,0,0,0,False,2,2,1,0,0,0,0,19,1.1500385999679565,1.0300976037979126,0.9999999999999999,0
sample_006,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,converged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sample_007,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,4,-0.045046650821559356,0.13995766639709473,-386.2292175292969,9907,0.9907,False,False,True,0.0,False,0.010306646375426158,0.005336742944912178,0,0,1.3,1.3,0,0,nan,0,0,0,False,0,3,1,0,0,0,0,20,0.9603717923164368,1.470214605331421,0.9999999999999997,0
sample_008,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,3,-0.0802969905695553,0.15704694390296936,-389.20587158203125,9876,0.9876,False,False,True,0.0,False,0.03670281048762974,0.019094717624499366,0,0,1.3,1.3,0,0,nan,0,0,0,False,0,2,0,1,0,0,0,21,1.081024408340454,0.9211781024932861,0.9999999999999997,0
sample_009,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,2,-0.07028710992311486,0.19641759991645813,-388.8622131347656,9923,0.9923,False,False,True,0.0,False,0.00535511351853491,0.0035318382360302126,0,0,1.3,1.3,0,0,nan,0,0,0,False,0,2,0,0,0,0,1,21,0.6713420748710632,1.527167558670044,0.9999999999999999,0
sample_010,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,4,-0.04690957739486523,0.18864066898822784,-389.7414245605469,9822,0.9822,False,False,True,0.0,False,0.012357527966762509,0.008049798405670421,0,0,1.3,1.3,0,0,nan,0,0,0,False,0,2,2,0,0,0,0,20,0.8448270559310913,1.0728135108947754,0.9999999999999999,0
sample_011,n0.5_arc_si0.1_g12.0_re0.01_ar1_pgtrue_phfalse,energy_plateau,10000,3,-0.07851353111462109,0.43647846579551697,-258.3041076660156,9941,0.9941,False,False,True,0.0,False,0.026009064137286955,0.033723590226002007,0,0,1.3,1.3,0,0,nan,0,0,0,False,0,2,0,1,0,0,0,6,0.8087400197982788,1.1106936931610107,0.9999999999999997,0
