rank,tag,max_atom_disp,nr_threshold,lm_mu,shift_epsilon,anneal_force_threshold,stagnation_window,escape_alpha,lm_mu_anneal_factor,neg_mode_line_search,neg_trust_floor,blind_mode_threshold,blind_correction_alpha,aggressive_trust_recovery,escape_bidirectional,mode_follow_eval_threshold,project_gradient_and_v,purify_hessian,n_samples,n_converged,n_errors,convergence_rate,mean_steps_when_converged,mean_wall_time,total_wall_time,total_escapes,total_line_searches,total_mode_follows,step_control,max_nr_weight,polynomial_linesearch,noise_level,crossover_mu_max,crossover_n_neg_ref,crossover_force_ref,path
1,n0.5_rfo_str_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,254,2,0.8850174216027874,1467.2716535433071,58.98328096775228,16928.201637744904,0,0,0,trust_region,0.0,True,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n0.5_rfo_str_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
2,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,239,8,0.8327526132404182,1535.7196652719665,53.72356787542017,15418.66398024559,0,0,0,trust_region,0.0,True,0.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
3,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,223,8,0.7770034843205574,1569.3856502242152,57.34634900176151,16458.402163505554,0,0,0,trust_region,0.0,False,0.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
4,n1.0_rfo_str_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,223,1,0.7770034843205574,2642.825112107623,104.47418174178758,29984.090159893036,0,0,0,trust_region,0.0,True,1.0,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n1.0_rfo_str_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
5,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,218,8,0.759581881533101,1247.8211009174313,52.817923427874206,15158.744023799896,0,0,0,trust_region,0.0,False,0.5,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
6,n0.5_rfo_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,193,2,0.6724738675958188,1095.082901554404,86.41310832060172,24800.562088012695,0,0,0,trust_region,0.0,False,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n0.5_rfo_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
7,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,193,2,0.6724738675958188,1095.082901554404,86.74417093821934,24895.57705926895,0,0,0,trust_region,0.0,False,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
8,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,191,2,0.6655052264808362,2543.7643979057593,113.0996122626062,32459.58871936798,0,0,0,trust_region,0.0,True,1.0,0.0,3.0,0.1,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
9,n0.5_rfo_re0.01_ar1_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,187,2,0.6515679442508711,1083.0695187165775,89.12140220964412,25577.842434167862,0,0,0,trust_region,0.0,False,0.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n0.5_rfo_re0.01_ar1_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
10,n1.5_rfo_str_re0.01_ar1_pls_pgtrue_phfalse,1.3,0.0,0.0,0.0,0.0,0,0.0,0.0,False,0.0,0.0,0.02,False,False,0.0,True,False,287,182,1,0.6341463414634146,3402.1263736263736,136.3795999649925,39140.94518995285,0,0,0,trust_region,0.0,True,1.5,0.0,0.0,0.0,/scratch/memoozd/ts-tools-scratch/runs/min_nr_v10c_1104386/n1.5_rfo_str_re0.01_ar1_pls_pgtrue_phfalse/minimization_newton_raphson_1104386_results.json
