sample_idx,n_converged,n_total,convergence_rate,best_converged_step,best_combo_tag
184,4,56,0.07142857142857142,3332,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
210,4,56,0.07142857142857142,821,n1.5_rfo_str_re0.01_ar1_pls_pgtrue_phfalse
251,5,56,0.08928571428571429,204,n0.5_rfo_re0.01_ar1_pgtrue_phfalse
78,6,56,0.10714285714285714,19,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
183,6,56,0.10714285714285714,2951,n1.0_rfo_str_re0.01_ar1_pls_pgtrue_phfalse
16,7,56,0.125,29,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
113,7,56,0.125,14,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
133,7,56,0.125,48,n1.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
173,7,56,0.125,3088,n0.5_rfo_re0.01_ar1_pgtrue_phfalse
176,7,56,0.125,262,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
178,7,56,0.125,265,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
198,7,56,0.125,35,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
273,7,56,0.125,18,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
277,7,56,0.125,53,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
30,8,56,0.14285714285714285,63,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
61,8,56,0.14285714285714285,18,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
71,8,56,0.14285714285714285,82,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
137,8,56,0.14285714285714285,949,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
159,8,56,0.14285714285714285,31,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
179,8,56,0.14285714285714285,1660,n1.0_rfo_str_re0.01_ar1_pls_pgtrue_phfalse
180,8,56,0.14285714285714285,75,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
185,8,56,0.14285714285714285,39,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
197,8,56,0.14285714285714285,2896,n1.0_rfo_str_re0.01_ar1_pls_pgtrue_phfalse
227,8,56,0.14285714285714285,14,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
253,8,56,0.14285714285714285,18,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
18,9,56,0.16071428571428573,38,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
24,9,56,0.16071428571428573,67,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
25,9,56,0.16071428571428573,27,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
27,9,56,0.16071428571428573,182,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
35,9,56,0.16071428571428573,30,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
42,9,56,0.16071428571428573,12,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
47,9,56,0.16071428571428573,41,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
109,9,56,0.16071428571428573,771,n0.5_rfo_str_re0.01_ar1_pls_pgtrue_phfalse
122,9,56,0.16071428571428573,27,n0.5_mad1.3_se1e-3_sctr_str_re0.01_ar1_pgtrue_phfalse
134,9,56,0.16071428571428573,19,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
141,9,56,0.16071428571428573,289,n0.5_rfo_re0.01_ar1_pgtrue_phfalse
181,9,56,0.16071428571428573,21,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
182,9,56,0.16071428571428573,97,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
192,9,56,0.16071428571428573,201,n1.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
208,9,56,0.16071428571428573,23,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
243,9,56,0.16071428571428573,533,n1.0_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
263,9,56,0.16071428571428573,11,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
269,9,56,0.16071428571428573,19,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
282,9,56,0.16071428571428573,24,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
22,10,56,0.17857142857142858,82,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
40,10,56,0.17857142857142858,336,n0.5_rfo_re0.01_ar1_pgtrue_phfalse
43,10,56,0.17857142857142858,157,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
58,10,56,0.17857142857142858,48,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
101,10,56,0.17857142857142858,27,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
115,10,56,0.17857142857142858,29,n1.0_mad1.3_se1e-3_sctr_re0.01_ar1_pgtrue_phfalse
119,10,56,0.17857142857142858,271,n0.5_rfo_gd8_glf0.01_str_re0.01_ar1_pgtrue_phfalse
132,10,56,0.17857142857142858,776,n0.5_mad1.3_se1e-3_sctr_re0.01_ar1_pls_pgtrue_phfalse
